wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (11.24186000000000085 5.97782999999999998),27/10/2017,27/10/2017,5.97783,11.24186,734,maize,bean,2017_CM_GARDIAN-62_POINT_110121,11,9998,0,27/10/2017
Point (10.96546000000000021 6.32552000000000003),28/10/2017,28/10/2017,6.32552,10.96546,767,maize,-,2017_CM_GARDIAN-62_POINT_110122,11,1200,0,28/10/2017
Point (10.96448999999999963 6.32278000000000073),28/10/2017,28/10/2017,6.32278,10.96449,766,maize,-,2017_CM_GARDIAN-62_POINT_110123,11,1200,0,28/10/2017
Point (10.9671599999999998 6.3220300000000007),28/10/2017,28/10/2017,6.32203,10.96716,772,maize,-,2017_CM_GARDIAN-62_POINT_110124,11,1200,0,28/10/2017
Point (10.57896000000000036 6.03371000000000013),29/10/2017,29/10/2017,6.03371,10.57896,955,maize,bean,2017_CM_GARDIAN-62_POINT_110125,11,9998,0,29/10/2017
Point (10.46147000000000027 6.07885000000000009),29/10/2017,29/10/2017,6.07885,10.46147,1176,maize,okra/colocasia/pepper/eggplant,2017_CM_GARDIAN-62_POINT_110126,11,9998,0,29/10/2017
Point (10.46147000000000027 6.07885000000000009),30/10/2017,30/10/2017,6.07885,10.46147,1176,maize,okra/colocasia/pepper/eggplant,2017_CM_GARDIAN-62_POINT_110127,11,9998,0,30/10/2017
Point (11.39259999999999984 2.3274499999999998),15/10/2017,15/10/2017,2.32745,11.3926,583,maize,-,2017_CM_GARDIAN-62_POINT_110128,11,1200,0,15/10/2017
Point (11.44030000000000058 2.31950999999999974),15/10/2017,15/10/2017,2.31951,11.4403,589,maize,pattate,2017_CM_GARDIAN-62_POINT_110129,11,9998,0,15/10/2017
Point (10.46218999999999966 6.07938000000000045),29/10/2017,29/10/2017,6.07938,10.46219,1181,maize,eggplant,2017_CM_GARDIAN-62_POINT_110130,11,9998,0,29/10/2017
Point (10.45426999999999929 6.0001199999999999),29/10/2017,29/10/2017,6.00012,10.45427,1187,maize,eggplant,2017_CM_GARDIAN-62_POINT_110131,11,9998,0,29/10/2017
Point (10.16218999999999895 5.91444599999999987),30/10/2017,30/10/2017,5.914446,10.16219,1540,maize,oilpalm,2017_CM_GARDIAN-62_POINT_110132,10,9998,0,30/10/2017
Point (10.15726000000000084 5.83509999999999973),30/10/2017,30/10/2017,5.8351,10.15726,1910,maize,oilpalm,2017_CM_GARDIAN-62_POINT_110133,10,9998,0,30/10/2017
Point (10.14401999999999937 4.83492999999999995),30/10/2017,30/10/2017,4.83493,10.14402,1932,maize,bean/colocacia,2017_CM_GARDIAN-62_POINT_110134,11,9998,0,30/10/2017
Point (10.10267999999999944 5.79851000000000028),30/10/2017,30/10/2017,5.79851,10.10268,1800,maize,cucumber,2017_CM_GARDIAN-62_POINT_110135,11,9998,0,30/10/2017
Point (10.26665000000000028 6.00781999999999972),31/10/2017,31/10/2017,6.00782,10.26665,1422,maize,bean/banana,2017_CM_GARDIAN-62_POINT_110136,10,9998,0,31/10/2017
Point (10.23401999999999923 6.03139999999999965),31/10/2017,31/10/2017,6.0314,10.23402,1253,maize,bean/cowpea,2017_CM_GARDIAN-62_POINT_110137,11,9998,0,31/10/2017
Point (10.17741999999999969 5.98547999999999991),31/10/2017,31/10/2017,5.98548,10.17742,1217,maize,bean/sweetpotato/cassava,2017_CM_GARDIAN-62_POINT_110138,11,9998,0,31/10/2017
Point (10.12950999999999979 6.00570999999999966),31/10/2017,31/10/2017,6.00571,10.12951,1299,maize,/,2017_CM_GARDIAN-62_POINT_110139,11,1200,0,31/10/2017
Point (9.98643000000000036 5.88236999999999988),01/11/2017,01/11/2017,5.88237,9.98643,1284,maize,bean,2017_CM_GARDIAN-62_POINT_110140,11,9998,0,01/11/2017
Point (9.90435000000000088 5.85179999999999989),01/11/2017,01/11/2017,5.8518,9.90435,1166,maize,bean,2017_CM_GARDIAN-62_POINT_110141,11,9998,0,01/11/2017
Point (9.70348000000000077 5.79403000000000024),01/11/2017,01/11/2017,5.79403,9.70348,285,maize,cassava,2017_CM_GARDIAN-62_POINT_110142,11,9998,0,01/11/2017
Point (9.68374000000000024 5.72616000000000014),01/11/2017,01/11/2017,5.72616,9.68374,213,maize,groundnut,2017_CM_GARDIAN-62_POINT_110143,11,9998,0,01/11/2017
Point (9.29176000000000002 5.70121999999999929),02/11/2017,02/11/2017,5.70122,9.29176,123,maize,plantain,2017_CM_GARDIAN-62_POINT_110144,11,9998,0,02/11/2017
Point (9.24517999999999951 5.5129999999999999),02/11/2017,02/11/2017,5.513,9.24518,162,maize,cassava,2017_CM_GARDIAN-62_POINT_110145,11,9998,0,02/11/2017
Point (9.2289999999999992 5.68984000000000023),02/11/2017,02/11/2017,5.68984,9.229,146,maize,cassava,2017_CM_GARDIAN-62_POINT_110146,11,9998,0,02/11/2017
Point (9.32336999999999883 5.76299000000000028),02/11/2017,02/11/2017,5.76299,9.32337,84,maize,-,2017_CM_GARDIAN-62_POINT_110147,11,1200,0,02/11/2017
Point (9.47533999999999921 4.63781999999999961),03/11/2017,03/11/2017,4.63782,9.47534,194,maize,cassava,2017_CM_GARDIAN-62_POINT_110148,11,9998,0,03/11/2017
Point (9.48362000000000016 4.6619199999999994),03/11/2017,03/11/2017,4.66192,9.48362,217,maize,cocoyam/cassava,2017_CM_GARDIAN-62_POINT_110149,11,9998,0,03/11/2017
Point (9.4734499999999997 4.61576999999999948),03/11/2017,03/11/2017,4.61577,9.47345,196,maize,ageratum,2017_CM_GARDIAN-62_POINT_110150,11,9998,0,03/11/2017
Point (10.14713000000000065 5.73638000000000048),13/10/2017,13/10/2017,5.73638,10.14713,1756,maize,bean/carrot,2017_CM_GARDIAN-62_POINT_110151,11,9998,0,13/10/2017
Point (10.14128000000000007 5.73478000000000065),13/10/2017,13/10/2017,5.73478,10.14128,1774,maize,bean/colocasia,2017_CM_GARDIAN-62_POINT_110152,11,9998,0,13/10/2017
Point (10.18440000000000012 5.72476999999999947),13/10/2017,13/10/2017,5.72477,10.1844,1530,maize,bean/colocacsia/argeratum,2017_CM_GARDIAN-62_POINT_110153,11,9998,0,13/10/2017
Point (10.21931000000000012 5.66649000000000047),13/10/2017,13/10/2017,5.66649,10.21931,1445,maize,-,2017_CM_GARDIAN-62_POINT_110154,11,1200,0,13/10/2017
Point (10.58339799999999897 5.48684999999999956),14/10/2017,14/10/2017,5.48685,10.583398,1025,maize,-,2017_CM_GARDIAN-62_POINT_110155,11,1200,0,14/10/2017
Point (10.62711999999999968 5.49652999999999992),14/10/2017,14/10/2017,5.49653,10.62712,1075,maize,ean/colocasia,2017_CM_GARDIAN-62_POINT_110156,11,9998,0,14/10/2017
Point (10.64803999999999995 5.52658000000000005),14/10/2017,14/10/2017,5.52658,10.64804,1097,maize,bean,2017_CM_GARDIAN-62_POINT_110157,11,9998,0,14/10/2017
Point (10.67329999999999934 5.56770000000000032),14/10/2017,14/10/2017,5.5677,10.6733,1115,maize,africannightshade,2017_CM_GARDIAN-62_POINT_110158,11,9998,0,14/10/2017
Point (10.30873000000000062 5.48310999999999993),15/10/2017,15/10/2017,5.48311,10.30873,1482,maize,bean,2017_CM_GARDIAN-62_POINT_110159,11,9998,0,15/10/2017
Point (10.18331000000000053 5.48975999999999953),15/10/2017,15/10/2017,5.48976,10.18331,1535,maize,bean,2017_CM_GARDIAN-62_POINT_110160,11,9998,0,15/10/2017
Point (10.30349999999999966 5.47660999999999998),15/10/2017,15/10/2017,5.47661,10.3035,1491,maize,-,2017_CM_GARDIAN-62_POINT_110161,11,1200,0,15/10/2017
Point (10.09483999999999959 5.57387999999999995),15/10/2017,15/10/2017,5.57388,10.09484,1821,maize,-,2017_CM_GARDIAN-62_POINT_110162,11,1200,0,15/10/2017
